epoch,acoustic_G_loss,visual_G_loss,text_G_loss,visual_D_loss,text_D_loss,acoustic_D_loss
0,0.7152744,0.674866,0.6708303,0.69110096,0.7060306,0.6928098
1,0.76662344,0.6899766,0.684668,0.6889423,0.70554566,0.69478863
2,0.75299084,0.6706447,0.67731154,0.6923263,0.69780314,0.69529974
3,0.7570401,0.69993633,0.6897067,0.6924917,0.7125164,0.692345
4,0.7215351,0.6819709,0.67541724,0.69466907,0.71433014,0.6919895
5,0.7751247,0.6985445,0.68160754,0.69648826,0.71191967,0.6854861
6,0.78230923,0.7127135,0.7167767,0.68987954,0.7100659,0.70093197
7,0.8428495,0.69924,0.6786754,0.67269963,0.7008885,0.6876707
8,0.8954065,0.6847654,0.6744376,0.6899098,0.697692,0.69172174
9,0.9311085,0.69734794,0.6912026,0.6952319,0.6947545,0.6942143
10,0.9851894,0.7192898,0.70518553,0.69256586,0.6914961,0.68363476
11,1.0234003,0.7412724,0.83375126,0.7421524,0.6571146,0.6993109
12,1.053728,0.64716595,0.8455604,0.7237682,0.6114551,0.68058026
13,1.076477,0.58223796,0.57889485,0.69917613,0.72879404,0.70266634
14,1.1015375,0.8835119,0.71578664,0.59888935,0.7395301,0.5996603
15,1.134464,0.86371475,0.8810942,0.6222436,0.73334724,0.70623815
16,1.1731688,0.54681224,0.5734423,0.5966401,0.47634965,0.69833595
17,1.2162776,0.5475868,0.63342613,0.58451426,0.38019723,0.7126091
18,1.2702533,0.6476471,0.6198608,0.55385816,0.3488171,0.7023046
19,1.3244474,0.7811115,0.6251709,0.5649712,0.33167332,0.6674496
20,1.3809259,0.7284087,0.7005831,0.51543,0.32756716,0.69169927
21,1.4417129,0.60894036,0.9188858,0.54252744,0.3584263,0.74236923
22,1.4795668,0.86056834,0.9878985,0.48741722,0.9061231,0.5714848
23,1.5150034,1.0280079,1.0449716,0.46134728,0.8627587,0.48840776
24,1.555409,1.1065097,1.1004194,0.41950893,0.7832163,0.45045763
25,1.5623226,1.1665702,1.1581212,0.42134863,0.7566061,0.43794966
26,1.6598549,1.2311541,1.222544,0.4072122,0.74819845,0.40635014
27,1.7131513,1.2999417,1.291033,0.3538971,0.7439704,0.39374688
