epoch,acoustic_G_loss,visual_G_loss,text_G_loss,visual_D_loss,text_D_loss,acoustic_D_loss
0,0.69754547,0.63577586,0.63270885,0.69284356,0.6999816,0.69735336
1,0.69390035,0.6673814,0.6637413,0.6936723,0.70077145,0.6946156
2,0.70265037,0.68053496,0.6763704,0.6929278,0.69891137,0.6931761
3,0.69781125,0.67219377,0.6719746,0.69470775,0.6954335,0.69533473
4,0.69981974,0.6791336,0.67209876,0.69226927,0.6976107,0.69196934
5,0.6941316,0.68071127,0.6805681,0.69305295,0.6970929,0.6946322
6,0.6987116,0.6899201,0.6850633,0.6939831,0.6973669,0.69111025
7,0.693114,0.6796379,0.6794608,0.69283766,0.69734365,0.69542545
8,0.7070285,0.6807497,0.6784658,0.69396555,0.69315785,0.6927797
9,0.692127,0.6914457,0.6868592,0.6945213,0.6975249,0.69232225
10,0.69485235,0.68382126,0.68198013,0.6929238,0.69366163,0.6944463
11,0.695393,0.6799216,0.6793593,0.69463515,0.6938875,0.6946233
12,0.6982019,0.6832193,0.68557286,0.69346535,0.6938362,0.6915819
13,0.6981849,0.6890369,0.68705356,0.6953487,0.6942822,0.69279456
14,0.6983385,0.68547493,0.68562263,0.6924828,0.69608635,0.6931436
15,0.6947095,0.6860458,0.6849924,0.6934981,0.6939219,0.6929693
16,0.6909794,0.6818809,0.6832453,0.6934046,0.6940619,0.69369346
17,0.69403106,0.6849319,0.67781574,0.69768715,0.6958504,0.6900046
18,0.70007396,0.67930907,0.67681193,0.69325376,0.69193745,0.6922642
19,0.6939298,0.693585,0.68418115,0.6950699,0.69673765,0.68916637
20,0.69601905,0.6957445,0.66691417,0.69331515,0.6946629,0.6830356
21,0.6947036,0.6826051,0.6635995,0.6920509,0.684122,0.6898591
22,0.7336389,0.74811953,0.64707005,0.7015132,0.6706903,0.64873105
23,0.7505617,0.7710262,0.62572324,0.70444787,0.71734285,0.6109949
24,0.73280346,0.63768363,0.62768847,0.69885045,0.6896323,0.6876182
25,0.76894504,0.6282938,0.63820416,0.6944595,0.6247078,0.70046186
26,0.7794195,0.63522846,0.64929545,0.6920806,0.5864657,0.70086384
27,0.80839616,0.6408471,0.6810231,0.68254924,0.5803773,0.69883555
28,0.82964146,0.8019743,0.6989448,0.68311787,0.624033,0.6197117
29,0.8493802,0.7262525,0.78052175,0.68365884,0.66157645,0.58792996
30,0.85578626,0.7382517,0.83626264,0.6874639,0.58350044,0.57537496
31,0.88948166,0.6012344,0.8965502,0.6572008,0.56360346,0.57442814
32,0.9301639,0.587945,0.93629307,0.58952487,0.61857855,0.53295374
33,0.9619551,0.5372805,0.96886045,0.5542415,0.4824162,0.60228884
34,0.9403935,0.5262927,0.99211264,0.5220998,0.478009,0.65226316
35,0.98998713,0.52203715,1.005896,0.5050199,0.47823977,0.7140858
36,1.0268483,0.5185798,1.026288,0.49374056,0.5051317,0.71509457
37,1.0489,0.7324663,0.8966096,0.68092275,0.49504519,0.70007765
38,1.0561823,0.8325999,0.58487487,0.7329763,0.4811093,0.6111026
39,0.6282655,0.53798366,0.5336167,0.70615906,0.52130055,0.7115238
40,0.8026353,0.5774823,0.58116066,0.66385806,0.6933841,0.70777166
41,0.712421,0.6465778,0.6653245,0.7243947,0.71307147,0.70044386
42,0.91366374,0.6602567,0.66081876,0.6720333,0.7299267,0.69716763
43,0.86093533,0.6369052,0.7938743,0.6866888,0.70841444,0.7210382
44,0.83331734,0.63214487,0.71508837,0.6579052,0.7021349,0.71008515
45,0.8138306,0.6557842,0.6919426,0.63900787,0.69815063,0.6992074
46,0.8676394,0.6424134,0.7041584,0.5601941,0.6954364,0.7023349
47,0.9759643,0.63777083,0.97782856,0.5906955,0.6935687,0.76524985
48,1.0180198,0.620362,1.0125849,0.57323796,0.69228923,0.70383906
49,1.0310088,0.59130114,1.0593419,0.6463156,0.69257843,0.700618
50,1.0560099,0.58526355,1.0811032,0.64906013,0.69313145,0.69431096
51,1.0508606,0.56085885,1.1001052,0.67344,0.68291664,0.7115874
52,0.69834906,0.54863495,1.1196233,0.7086115,0.66229564,0.7039747
53,0.7755558,0.53710496,1.140596,0.7621751,0.51620287,0.68950975
54,0.8782708,0.5227544,1.161235,0.62487507,0.47366786,0.7124425
55,0.97669756,0.75292885,1.1841629,0.63038015,0.49424344,0.58442724
56,0.99628884,0.5063051,1.2129955,0.6379374,0.44482565,0.62544334
57,1.041071,0.6210274,1.2431229,0.5885576,0.4827896,0.44926652
58,1.1210613,0.84054345,1.2704146,0.549972,0.4362023,0.483797
59,1.1531626,0.4557773,1.2924479,0.5101458,0.35777885,0.73684937
60,1.1072991,0.4526682,1.3128253,0.49717665,0.3861355,0.7458404
61,1.1862111,0.45449564,1.3413501,0.5151539,0.38503402,0.74071544
62,1.225544,0.9606886,1.3697604,0.5116551,0.44912153,0.4058029
63,1.233826,0.4777364,1.3918098,0.4998219,0.42396325,0.71913016
64,1.265085,0.4436459,1.3540516,0.6187217,0.44130063,0.8734485
65,1.2678387,1.3389714,0.44852698,0.597007,0.49537924,0.4225215
66,1.2517818,1.4342139,0.819778,0.43528005,0.9539452,0.44262937
67,1.2341963,1.4804893,0.43875086,0.48185286,1.0851507,0.42660275
68,1.2196174,1.5199006,0.46465415,0.55506736,0.9537678,0.47742504
69,1.1256315,1.5512501,0.44158944,0.39793378,0.824558,0.42402464
